date,away_team,home_team,p_home_win,p_away_win,is_fallback
2024-12-30,CHI,CHA,0.6099,0.3901,False
2024-12-30,NYK,WAS,0.462,0.538,False
2024-12-30,PHI,POR,0.4931,0.5069,False
2024-12-30,DEN,UTA,0.6058,0.3942,False
2024-12-30,CLE,GSW,0.4487,0.5513,False
2024-12-30,DAL,SAC,0.4884,0.5116,False
2024-12-30,LAC,NOP,0.5574,0.4426,False
2024-12-31,LAC,SAS,0.5521,0.4479,False
2024-12-31,MEM,PHX,0.4757,0.5243,False
2024-12-31,MIN,OKC,0.6043,0.3957,False
2024-12-31,TOR,BOS,0.7396,0.2604,False
2024-12-31,CLE,LAL,0.51,0.49,False
2024-12-31,MIL,IND,0.4248,0.5752,False
2025-01-01,ORL,DET,0.6416,0.3584,False
2025-01-01,ATL,DEN,0.5198,0.4802,False
2025-01-01,UTA,NYK,0.636,0.364,False
2025-01-01,DAL,HOU,0.608,0.392,False
2025-01-01,NOP,MIA,0.6036,0.3964,False
2025-01-01,BKN,TOR,0.4335,0.5665,False
2025-01-01,CHI,WAS,0.5628,0.4372,False
2025-01-01,PHI,SAC,0.5206,0.4794,False
2025-01-02,LAC,OKC,0.6257,0.3743,False
2025-01-02,POR,LAL,0.5818,0.4182,False
2025-01-02,BOS,MIN,0.5035,0.4965,False
2025-01-02,IND,MIA,0.626,0.374,False
2025-01-02,BKN,MIL,0.5701,0.4299,False
2025-01-02,PHI,GSW,0.4884,0.5116,False
2025-01-03,CLE,DAL,0.4479,0.5521,False
2025-01-03,SAS,DEN,0.6189,0.3811,False
2025-01-03,ATL,LAL,0.4727,0.5273,False
2025-01-03,NYK,OKC,0.5876,0.4124,False
2025-01-03,WAS,NOP,0.5999,0.4001,False
2025-01-03,BOS,HOU,0.4428,0.5572,False
2025-01-03,MEM,SAC,0.6104,0.3896,False
2025-01-03,ORL,TOR,0.4262,0.5738,False
2025-01-03,CHA,DET,0.5718,0.4282,False
2025-01-04,MEM,GSW,0.5832,0.4168,False
2025-01-04,DEN,SAS,0.5801,0.4199,False
2025-01-04,PHI,BKN,0.4767,0.5233,False
2025-01-04,MIN,DET,0.5811,0.4189,False
2025-01-04,POR,MIL,0.6166,0.3834,False
2025-01-04,PHX,IND,0.6108,0.3892,False
2025-01-04,ATL,LAC,0.4646,0.5354,False
2025-01-04,NYK,CHI,0.5082,0.4918,False
2025-01-04,UTA,MIA,0.6397,0.3603,False
2025-01-05,LAL,HOU,0.5943,0.4057,False
2025-01-05,CHA,CLE,0.6864,0.3136,False
2025-01-05,NOP,WAS,0.598,0.402,False
2025-01-05,UTA,ORL,0.6116,0.3884,False
2025-01-05,SAC,GSW,0.565,0.435,False
2025-01-05,BOS,OKC,0.4952,0.5048,False
2025-01-06,POR,DET,0.6723,0.3277,False
2025-01-06,IND,BKN,0.5263,0.4737,False
